SubBank	QuestionText	QuestionType	Choice1	Choice2	Choice3	Choice4	Choice5	Grade1	Grade2	Grade3	Grade4	Grade5
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
While architecting a system, if ""minimum down time"" is the primary expected behavior of the system, the system architecture should be  based on -------------------"	MCQ	Firewall	Cluster	Application Servers	Proxy Server		0	1	0	0	
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
Consider  the following statements:
Statement A: A resource is passive when it does not have any processing of its own.
Statement B: The content of a passive resource does not change.
Which of the following is true about these statements?"	MCQ	Statement A is true and statement B is true.	Statement A is true and statement B is false.	Statement A is false and statement B is true.	Statement A is false and statement B is false.		1	0	0	0	
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
Which of the following is / are true about the layered architecture style?"	MCA	Layered architecture separates the functionalities to individual layers, thereby improving maintainability & reusability	Testing the communication across multiple layers is complex	Layered architecture can be used to increase or decrease the level of abstraction between layers	Development will be slower, because more layers to code & integration cost is higher		0.5	0	0.5	0	
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
HttpServletRequest is a sub interface of ____________."	MCQ	HttpRequest	ServletRequest	HttpServlet	It is not a sub-interface		0	1	0	0	
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
HTTP protocol allows asynchronous transactions between a client and server"	MCQ	TRUE	FALSE				1	0			
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
The proposed web application need to access two databases, for performing the business operations. Which of the API in J2EE package will support to achieve this functionality?"	MCQ	JNDI	JTA	JPA	JMS		0	1	0	0	
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
A server will serve a request. Application Server handles request that needs dynamic content, whereas a web server will handle the request for static content."	MCQ	TRUE	FALSE				1	0			
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
Which of the following is applicable to Servlet Containers?"	MCQ	These are specialized Web servers, which support servlet execution	These are responsible for managing the lifecycle of servlets, mapping a URL (Universal Resource Locator) to a particular servlet, and ensuring that the URL requester has got the correct access rights	These are also referred to as Web containers or Web engines.	All of the listed options		0	0	0	1	
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
Which of the following can be considered as role(s) of a deployment descriptor in a .war or .ear modules?"	MCA	provides security information of the application	to provide the configuration details on how the web server should use them to serve the incoming requests	to provide listener information to notify certain classes when some events (like session creation) happen	has to list down the external API's which are used in the web application		0.33	0.33	0.33	0	
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
Which of the following methods are not implemented by the RequestDispatcher interface?
1.redirect()
2.forward()
3.include()
4.dispatch()"	MCQ	1&2	3&4	2&3	1&4		0	0	0	1	
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
If 1000 users are accessing SampleServlet how many actual object of servlets exist in web container?"	MCQ	1000	1	10			0	1	0	0	
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
In ""n-tier"" architecture style, the layers of a web application reside over multiple physical computers."	MCQ	TRUE	FALSE				1	0			
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
Which of the following tag is NOT a part of the web.xml file?"	MCQ	<servlet>	<action>	<param-name>	<param-value>		0	1	0	0	
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
A web application contains images to be displayed across the UI screens. In a typical production environment, where these images will be deployed?"	MCQ	Application Server	Web Server	Proxy Server	Will be bundled inside the application, hence no need to deploy individually	None of the above	0	1	0	0	0
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
For every HTTP request, static contents will be served by a web server, whereas if dynamic content is requested, web server forwards the request to application server."	MCQ	TRUE	FALSE				1	0			
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
Always the enterprise archive (EAR) files will be deployed in a web container"	MCQ	TRUE	FALSE				0	1			
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
The method getWriter() of HttpServletResponse returns an object of type ____________."	MCQ	HttpServletRequest	PrintWriter	ServletContext	ServletConfig		0	1	0	0	
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
Which of the following Java EE containers manages the execution of enterprise beans for Java EE applications?"	MCQ	EJB container	Web container	Application client container	Applet container		1	0	0	0	
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
A proxy server will allow to cache web pages in your computer"	MCQ	TRUE	FALSE				1	0			
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
Which are lifecycle methods of Servlet Interface?
1.public abstract void init(ServletConfig config) 
2.public abstract void service(ServletRequest req, ServletResponse res) 
3.public abstract void destroy(ServletContext) 
4.public abstract void destroy()"	MCQ	1&2&3	2&3&4	1&2&4	3&2	3&4	0	0	1	0	0
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
Websphere Application server is a open source server"	MCQ	TRUE	FALSE				0	1			
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
Which of the following is / are true about web applications?"	MCA	web application provides cross platform compatibility	Little or no diskspace is required on the client	Web applications allows the users to invoke from any device like mobile phones, tablets that has browsers	To access the application, the device like mobile phones, tablets, computers need to open the port for connectivity to web server		0.33	0.33	0.33	0	
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
If the proposed system to be developed to handle concurrent user requests, with reduced turn-around time & resource usage, then the architecture should employ ---------------"	MCQ	Firewall	Load Balancer	Application Servers	Web Server		0	1	0	0	
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
URL and URN are one and the same"	MCQ	TRUE	FALSE				0	1			
Servlets - Session Management-Knowledge	"Carefully read the question and answer accordingly.
Which of the following code line will destroy a session?"	MCQ	session.isAlive = false;	session.isNew(false)	session.invalidate()	session.removeSession()		0	0	1	0	
Servlets - Session Management-Knowledge	"Carefully read the question and answer accordingly.
Which of the following techniques are used to track session?"	MCQ	URL rewriting	Cookies	Hidden Field	All of the listed options		0	0	0	1	
Servlets - Session Management-Knowledge	"Carefully read the question and answer accordingly.
Mark is developing a web based application. The home page is a servlet that accepts the user name and password. Mark does not want the user to enter the username every time he logs into the website. He wants to find a way to store the value on the user's machine. Which method should he use so that the value gets stored on the user's machine?"	MCQ	getCookie()	addCookie()	addSession()	getSession()		0	1	0	0	
Servlets - Session Management-Knowledge	"Carefully read the question and answer accordingly.
HTTP is stateful protocol which maintains clients state automatically. State True or False."	MCQ	FALSE	TRUE				1	0			
Servlets - Session Management-Knowledge	"Carefully read the question and answer accordingly.
Which of the following method of the HttpServletRequest object is used to get the clients session information in the HttpSession object?"	MCQ	putValue()	doPost()	getSession()	getValue()		0	0	1	0	
Servlets - Session Management-Knowledge	"Carefully read the question and answer accordingly.
Which statements about session timeouts are true?"	MCQ	Session timeout declarations made in the DD(web.xml) can specify time in seconds.	Session timeout declarations made in the DD(web.xml) can specify time in minutes.	Session timeout declarations made programmatically can specify time only in seconds.	Session timeout declarations made programmatically can specify time either in minutes or seconds.		0	1	0	0	
Servlets - Session Management-Knowledge	"Carefully read the question and answer accordingly.
A container does not initialize the servlets as soon as it starts up, it initializes a servlet when it receives a request for that servlet first time. This is called lazy loading.State True or False."	MCQ	TRUE	FALSE				1	0			
Servlets - Session Management-Knowledge	"Carefully read the question and answer accordingly.
Which method of HttpSession interface is used for specifying the length of inactive interval for a session object?"	MCQ	setMaxInterval()	setMaxInactiveInterval()	setMaxInactive_interval()	setInactiveInterval()		0	1	0	0	
Servlets - Session Management-Knowledge	"Carefully read the question and answer accordingly.
Which of the following listeners are invoked when a session is created?"	MCQ	HttpSessionBindingListener	HttpListener	HttpSessionListener	HttpSessionAttributeListener		0	0	1	0	
Servlets - Session Management-Knowledge	"Carefully read the question and answer accordingly.
Given that URL-rewriting must be used for session management, identify the query string attribute used when URL-rewriting."	MCQ	sessionid	jsessionid	servletid	containerid		0	1	0	0	
Servlets - Session Management-Knowledge	"Carefully read the question and answer accordingly.
Which two of the following are true statements about sessions?
1.Sessions are destroyed only after a predefined period of inactivity
2.Sessions can span web applications 
3.Sessions can be cloned across JVMs
4.You can use the deployment descriptor to cause sessions to expire after a set number of requests
5.Sessions can be set to never time out"	MCQ	1&2	1&3	2&3	3&5	1&5	0	0	0	1	0
Servlets - Session Management-Knowledge	"Carefully read the question and answer accordingly.
How can an existing session in servlet can be destroyed ? 
1.programmatically using session.invalidate()
2.by calling session.service() method
3.by closing the browser
4.when the server itself is shut down"	MCQ	1&2	1&3	2&3	2&4	1&4	0	0	0	0	1
Servlets - Session Management-Knowledge	"Carefully read the question and answer accordingly.
Servlet A receives a request that it forwards to servlet B within another web application in the same web container. Servlet A needs to share data with servlet B and that data must not be visible to other servlets in A's web application. In which object can the data that A shares with B be stored?"	MCQ	HttpSession	HttpServletResponse	ServletContext	HttpServletRequest		0	0	0	1	
Servlets - Session Management-Knowledge	"Carefully read the question and answer accordingly.
Choose the valid option for creating session object  and to add a attribute ""BOOKID"" into session object."	MCQ	public void doGet(HttpServletRequest req, HttpServletResponse res) throws ServletException, IOException { HttpSession session = req.getSession(); session.setAttribute("BookID","Core Java"); }	public void doGet(HttpServletRequest req, HttpServletResponse res) throws ServletException, IOException { session = req.getSession(); session.getAttribute("BookID","Core Java"); }	public void doGet(HttpServletRequest req, HttpServletResponse res) throws ServletException, IOException { Session session = req.getSession(); session.setAttribute("BookID","Core Java"); }	None of the listed options		1	0	0	0	
Servlets - Session Management-Knowledge	"Carefully read the question and answer accordingly.
How do you create a session?"	MCQ	request.getSession()	request.createSession()	request.getSessionObject()	request.makeSession()		1	0	0	0	
Servlets - Listeners-Knowledge	"Carefully read the question and answer accordingly.
In which of these following getAttibute()  and setAttribute() method has defined?
1.HttpSession
2.ServletRequest
3.ServletResponse
4.HttpListener"	MCQ	1&3	2&3	1&2	3&4		0	0	1	0	
Servlets - Listeners-Knowledge	"Carefully read the question and answer accordingly.
Which of the following Listener can get context init parameter and run some code before rest of the application can service a client?"	MCQ	ServletContextAttributeListener	ServletContextListener	HttpSessionListener	None of the listed options		0	1	0	0	
Servlets - Listeners-Knowledge	"Carefully read the question and answer accordingly.
If you want to know when a request attribute has been removed,added or replaced, then which listener is the appropriate one?"	MCQ	ServletRequestListener	ServletRequestAttributeListener	HttpRequestListener	None of the listed options		0	1	0	0	
Servlets - Listeners-Knowledge	"Carefully read the question and answer accordingly.
Which of the following Listener is used to track number of active sessions or users?"	MCQ	ServletRequestListener	ServletRequestListener	HttpSessionListener	HttpSessionBindingListener		0	0	1	0	
Servlets - Listeners-Knowledge	"Carefully read the question and answer accordingly.
Which one is required as a sub-element of listener tag  in Deployment Descriptor?"	MCQ	<listener-type>	<listener-class>	<listener-attribute>	None of the listed options		0	1	0	0	
Servlets - Listeners-Knowledge	"Carefully read the question and answer accordingly.
Sam is writing a web application program. He has implemented ServletContextListener interface in his web application program. Which method of ServletContextListener interface he should use to perform startup activities for web application?"	MCQ	init()	initiateContext()	contextInitialized()	start()		0	0	1	0	
JSP - EL (Expression Language)-Comprehension	"Carefully read the question and answer accordingly.
How will you retrieve the first value of request parameter “fname”?
1.${param.fname}
2.${requestParams.fname}
3.${requestScope.fname} 
4.${paramValues.fname[0]}"	MCQ	1&3	2&3	1&2	1&4		0	0	0	1	
JSP - EL (Expression Language)-Comprehension	"Carefully read the question and answer accordingly.
How will you access a servlet context initialization parameter named “company-name”?"	MCQ	${init.company-name}	${init['company-name']}	${initParam[“company-name”]}	${contextParam.company-name}		0	0	1	0	
JSP - EL (Expression Language)-Comprehension	"Carefully read the question and answer accordingly.
Which of following are EL implicit objects?
1.pageContext
2.parameter
3.parameterValues
4.header
5.session"	MCQ	1&4	2&4	3&4	4&5	1&5	1	0	0	0	0
JSP - EL (Expression Language)-Comprehension	"Carefully read the question and answer accordingly.
What is the syntax of Expression Language in a JSP page?"	MCQ	${expr}	#{expr}	${"expr"}	$[expr]		1	0	0	0	
JSP - EL (Expression Language)-Comprehension	"Carefully read the question and answer accordingly.
Predict output of Expression Language ${7*k} if k is null:"	MCQ		null	7	error		1	0	0	0	
JSP - EL (Expression Language)-Comprehension	"Carefully read the question and answer accordingly.
Expression Language treats null values as “zero” In arithmetic operations.State True or False."	MCQ	TRUE	FALSE				1	0			
JSP - EL (Expression Language)-Comprehension	"Carefully read the question and answer accordingly.
Consider the following servlet code segment:
 Map map = new HashMap();
 map.put(“a”, “1”);
 map.put(“b”, “2”);
 map.put(“c”, “3”);
 map.put(“d”, “4”);
 request.setAttribute(“map”, map);
 String[] names = {“a”, “b”, “c”, “d”};
 request.setAttribute(“names” , names);
 What does ${map[names[0]]} return?"	MCQ	a	Nothing will be displayed	1	None of the listed options		0	0	1	0	
JSP - EL (Expression Language)-Comprehension	"Carefully read the question and answer accordingly.
<%
 List list=new ArrayList();
 list.add(""a"");
 list.add(""2"");
 list.add(""c"");
 request.setAttribute(""list"",list);
 request.setAttribute(""number"",""1"");
%>
Based on the above code segment, which of the following will 
display ""c""? 
1.${list[2]}
2.${list.2}
3.${list[number+1]}
4.${list.3}"	MCQ	1&3	2&3	2&4	3&4		1	0	0	0	
JSP - EL (Expression Language)-Comprehension	"Carefully read the question and answer accordingly.
Which of the following EL implicit objects is not a Map?"	MCQ	requestScope	initParam	headerValues	pageContext		0	0	0	1	
JSP - EL (Expression Language)-Comprehension	"Carefully read the question and answer accordingly.
Code to get the value of “address” request parameter is:"	MCQ	${param.address}	${Values.address}	${request.address}	None of the listed options		1	0	0	0	
JSP - EL (Expression Language)-Comprehension	"Carefully read the question and answer accordingly.
Choose valid expression language statement for accessing textfield elements whose name is userid."	MCQ	#{param.userid}	${param.userid}	request.getParameter("userid");	None of the listed options		0	1	0	0	
JSP - EL (Expression Language)-Comprehension	"Carefully read the question and answer accordingly.
Consider the code segment given below:
  List list = new ArrayList();
     list.add(“1”);
 list.add(“2”);
 list.add(“3”);
 list.add(“4”);
 request.setAttribute(“list”, list);
 String[]  names = {“a”, “b”, “c”, “d”, “e”};
What will ${names[list[0] + 1]} display?"	MCQ	a,b	b	c	a,b,c		0	0	1	0	
JSP - EL (Expression Language)-Comprehension	"Carefully read the question and answer accordingly.
Select correct options with respect to Expression Language (EL) used in JSP
1.The purpose of EL is to make a JSP script free
2.EL is a simple and powerful replacement of Standard Actions
3.EL is enabled in a JSP by default
4.EL stands for Extended Language"	MCQ	1&2	1&2&3	2&3	1&2&4	2&3&4	0	1	0	0	0
JSP - EL (Expression Language)-Comprehension	"Carefully read the question and answer accordingly.
You have a map named “carMap” with a key named “Ford”. Select  correct EL syntaxes to print the value of this key.
1.${carMap.Ford}
2.${carMap.[Ford]}
3.${carMap[“Ford”]}
4.${carMap[Ford]}"	MCQ	1&2	1&3	2&3	2&4	1&4	0	1	0	0	0
JSP - Custom Tags-Knowledge	"Carefully read the question and answer accordingly.
Consider  the following statements:
Statement A: A tag library descriptors an XML document that contains information about a library as a whole and about each tag contained in the library. 
Statement B: TLDs are used by a Web container to validate the tags used by JSP page development tools.
Which of the following is true about these statements?"	MCQ	Statement A is true and statement B is true.	Statement A is true and statement B is false.	Statement A is false and statement B is true.	Statement A is false and statement B is false.		1	0	0	0	
JSP - Custom Tags-Knowledge	"Carefully read the question and answer accordingly.
<?xml version=""1.0"" encoding=""UTF-8""?>
<taglibxmlns=""http://java.sun.com/xml/ns/j2ee"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""
xsi:schemaLocation=""http://java.sun.com/xml/ns/j2eeweb-jsptaglibrary_2_0.xsd"" version=""2.0"">
<tlib-version>2.0</tlib-version>
<short-name>SimpleTagForLearning</short-name>
<uri>testuri</uri>
<tag>
 <name>helloworld</name>
 <tag-class>com.cts.MyTagHandler</tag-class>
 <body-content>empty</body-content>
 <attribute>
  <name>attrb</name>
  <required>true</required>
  <rtexprvalue>true</rtexprvalue>
 </attribute>
</tag>
</taglib>
For above mentioned .tld select correct tag usage option in JSP page."	MCQ	<%@ taglib prefix="pre" uri="testuri" %> <html> <head> <title>Demo on helloworldCustom tag</title> </head> <h1> <pre:helloworld/> </h1> </html>	<%taglib prefix="pre" uri="testuri" %> <html> <head> <title>Demo on helloworldCustom tag</title> </head> <h1> <pre:helloworld attrib="John"> </h1> </html>	<%@ taglib prefix="pre" uri="testuri" %> <html> <head> <title>Demo on helloworldCustom tag</title> </head> <h1> <pre:helloworld attrb="John"/> </h1> </html>	<%@ taglib prefix="pre" uri="testuri" %> <html> <head> <title>Demo on helloworldCustom tag</title> </head> <h1> <helloworld "attrb"="John"/> </h1> </html>		0	0	1	0	
JSP - Custom Tags-Knowledge	"Carefully read the question and answer accordingly.
Consider  the following statements:
Statement A: When tags are implemented with tag handlers written in Java, each tag in the library must be declared in the TLD with a tag element.
Statement B: The tag element contains the tag name, the class of its tag handler, information on the tag's attributes, and information on the variables created by the tag.
Which of the following is true about these statements?"	MCQ	Statement A is true and statement B is true.	Statement A is true and statement B is false.	Statement A is false and statement B is true.	Statement A is false and statement B is false.		1	0	0	0	
JSP - Custom Tags-Knowledge	"Carefully read the question and answer accordingly.
TagSupport and BodyTagSupport classes are present in which package?"	MCQ	java.servlet.jsp.tagext	javax.servlet.jsp.tag	javax.servlet.jsp.tag.ext	javax.servlet.jsp.tagext		0	0	0	1	
JSP - JSTL-Knowledge	"Carefully read the question and answer accordingly.
What is the output of the current code segment ?
 <c:forTokens items=“a,b,c,d,e” delims=“,” begin=“0” end=“4” step=“2” var=“alphabet”>
 <c:out value=“${alphabet}”/>
 </c:forTokens>"	MCQ	a,c,e	b,d	a,b,c	c,d,e		1	0	0	0	
JSP - JSTL-Knowledge	"Carefully read the question and answer accordingly.
Which JSTL code snippet can be used to perform URL rewriting?"	MCQ	<a href='<c:url url="cognizant.jsp"/>'/>	<a href='<c:link url="cognizant.jsp"/>'/>	<a href='<c:url value="cognizant.jsp"/>'/>	<a href='<c:link value="cognizant.jsp"/>'/>		0	0	1	0	
